Profession,Country,Region,Education,Sex,Age,AgeBin,Maritial,1.1_HeardCovid,1.2_Television/Radio,1.2_Newspaper/Magazines,1.2_SocialMedia,1.2_Colleagues/Workplace,1.2_Neighbors,1.3_CovidKnowledgeLevel,1.4_ContactRespiratoryDrop,1.4_Touching,1.4_UseSameObject,1.4_Sex,1.4_PersonToPerson,1.4_CloseContact,1.4_TouchingCoin,1.4_CovidFloatOnAir,1.5_Fever,1.5_Tiredness,1.5_Cough,1.5_ShortnessBreath,1.5_AchesPain,1.5_NasalCongestion,1.5_RunningNose,1.5_SoreThroat,1.5_Diarrhea,1.6_Mask,1.7_IncubationPeriod,1.8_Vaccine,1.9_LockDown,1.9_Isolation,1.9_Quarantine,1.10_Over60Yr,1.10_PrexistingCond,1.10_WorkEnvo,1.10_RiskZone,2.1_LockDown,2.2_HomeQuarantine,2.3_Isolation,2.4_PersonalHygiene,2.5_MediaRole,2.6_Over60Yr,2.6_PreExisting,2.6_Working,2.6_RiskZone,3.1_Quarantine,3.1_Respository,3.1_WashingHand,3.1_Mask,3.1_TouchingMouth,3.1_SocialDistance,3.2_PPE,3.3_Test,3.4_Handshake,3.4_Hug,3.4_VisitPlaces,3.4_ContactInfected,3.4_Religion,3.5_HandWash,3.8_Internet,3.9_Newspaper,3.9_TV,3.9_SocialMedia,3.9_Internet,3.10_TimeSpentOnCovidNews,4.1_FearOfDeath,4.1_Anxeity,4.1_Depression,4.1_SocialExclusion,4.1_Lonliness,N90BestToControlSpread,LearntCovid,KnowledgeScore,OpinionScoring,Susceptiblity,BehaveScore,PsychologicalHealth,Access_Of_Information
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,19,"(8.999, 21.0]",1,1,1.0,0,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,0,1,1,1,1,1,1,0,5,Other,0,1,1,1,1,1,1,1,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2.0,19,19,4,11,5,4
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,0,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,0,1,1,0,0,0,1,5,1-7 Day,3,1,1,1,0,1,1,1,5,5,5,5,4,0,1,1,1,1,0,1,1,0,1,3,3,0,1,1,1,1,2,1,0,1,1,1,1,0,0,1,0,1,0,3.0,14,24,3,8,2,3
Medical Professionals,Mexico,Central America and Mexico,S,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,0,0,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,5,2-14 Day,3,1,1,1,0,1,0,0,4,5,4,5,5,0,0,0,0,1,1,0,0,1,1,3,0,1,0,1,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,5.0,11,23,0,8,2,2
Medical Professionals,Mexico,Central America and Mexico,S,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,0,0,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,5,2-14 Day,3,1,1,1,0,1,0,0,4,5,4,5,5,0,0,0,0,1,1,0,0,1,1,3,0,1,0,1,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,5.0,11,23,0,8,2,2
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",,Male,22,"(21.0, 24.0]",1,1,1.0,0,1,0,0.0,,1,1,1,0,0,1,0.0,0.0,1,0,1,1,0,0,1,1,0,1,2-14 Day,0,0,1,1,1,1,1,1,3,4,4,5,5,0,0,0,0,1,1,1,1,1,1,3,0,1,1,0,1,0,2,1,0,1,1,0,3,1,0,0,1,1,1,2.0,14,21,0,9,3,2
Academian/Administration,Ghana,"West Africa( Ghana, Nigeria)",T,Female,31,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,0,1,0,4,4,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,2,1,1,1,1,1,5,1,1,0,1,0,1,5.0,20,23,0,9,3,4
Academian/Administration,United States,"North America (United States of America, Canada)",T,Female,40,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,1,0,1,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,5,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,5.0,15,25,1,10,5,4
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",S,Female,18,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,0,1,1.0,0.0,1,1,1,1,1,1,0,1,0,1,2-14 Day,0,1,1,1,1,1,1,1,4,4,3,2,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,3,1,1,1,1,1,1,5.0,18,17,4,5,5,4
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",S,Female,25,"(24.0, 30.0]",1,1,0.0,0,1,1,1.0,2,1,0,1,0,1,1,,,1,1,1,1,1,1,1,1,0,1,Dont Know,0,1,1,1,1,1,0,,1,5,5,5,5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,0,0,0,1,0,1,3.0,15,21,4,4,1,1
Academian/Administration,United States,"North America (United States of America, Canada)",,Female,26,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,0,0,0,1,0,1,1-7 Day,0,1,1,1,1,1,1,0,4,5,5,2,5,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,2,1,1,1,1,1,1,0,0,0,0,0,1,5.0,16,21,0,9,0,4
Others,Bangladesh,"South Asia (Bangladesh, India, Nepal)",S,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,0,0,0,0,5,5,4,5,5,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,2,1,0,1,1,0,1,0,1,1,0,1,1,5.0,17,24,0,10,3,2
Academian/Administration,Ghana,"West Africa( Ghana, Nigeria)",,Female,32,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,0,0,1,1,1,0.0,1.0,1,1,1,1,1,1,0,1,0,1,2-14 Day,0,1,1,1,1,1,1,1,5,3,5,4,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2,1,0,1,1,0,1,0,1,0,1,1,1,5.0,17,22,4,10,3,2
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,0,0,5,5,4,5,4,0,1,Not Sure,0,1,1,1,0,1,0,3,0,1,1,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,3.0,20,23,1,8,5,2
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,17,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,0,0,0,0,1,0,1,0,1,Other,0,1,1,1,0,0,0,0,5,5,5,5,5,,,,,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,1,1,4,1,0,0,1,1,1,5.0,12,25,0,10,3,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,21,"(8.999, 21.0]",1,1,1.0,1,1,0,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,3,1,1,1,1,1,0,0,5,5,5,5,5,0,0,0,0,1,0,0,0,1,1,3,0,1,1,1,1,1,2,1,1,1,1,1,4,0,1,0,0,0,1,4.0,19,25,0,8,1,4
Others,Mexico,Central America and Mexico,S,Male,44,"(41.0, 76.0]",2,1,0.0,0,1,0,0.0,4,1,1,1,0,0,1,1.0,0.0,1,1,1,1,1,1,0,1,1,2,2-14 Day,0,1,1,1,0,0,0,0,4,5,5,5,5,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,0,1,1,0,3,1,1,0,0,0,0,1.0,13,24,1,10,2,2
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,17,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,0,1,1.0,1.0,1,0,1,0,0,1,1,1,0,2,Other,0,1,1,1,0,0,1,1,5,4,4,5,5,Not Sure,1,1,Not Sure,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,1,0,1,0,0,0,0,1,0,5.0,13,23,2,10,1,3
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Female,30,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,1,1,3,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,2,1,1,1,1,1,4,1,1,1,1,1,0,5.0,21,23,4,6,5,4
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",T,Male,26,"(24.0, 30.0]",3,1,1.0,1,0,0,0.0,4,1,1,1,1,1,1,,,1,1,1,1,0,1,0,0,0,2,2-14 Day,0,1,1,1,1,0,0,,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,0,0,1,0,1,1,0,1,0,2.0,12,24,4,10,3,2
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",T,Female,24,"(21.0, 24.0]",1,1,1.0,0,1,0,0.0,3,1,1,1,1,1,0,,,1,1,0,1,0,1,1,1,0,2,2-14 Day,0,1,1,1,1,0,0,,4,5,5,5,3,1,1,1,Not Sure,1,1,1,1,0,1,0,0,1,1,0,1,1,2,1,0,0,1,0,2,0,1,0,0,0,0,2.0,12,22,3,9,1,1
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",S,Female,24,"(21.0, 24.0]",1,1,1.0,0,1,0,0.0,3,1,1,1,1,1,1,,,1,1,1,0,0,1,1,1,1,2,2-14 Day,0,1,1,1,0,1,0,,3,5,4,5,5,1,1,1,1,1,1,0,1,1,0,3,0,1,1,1,1,1,2,1,0,1,1,0,2,0,1,0,1,0,0,2.0,14,22,4,9,2,2
Medical Professionals,United States,"North America (United States of America, Canada)",T,Male,33,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,0,0,0.0,1.0,1,1,1,1,1,0,0,0,1,5,2-14 Day,1,1,1,1,1,1,1,0,5,5,5,5,5,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,2,1,0,0,0,1,1,1,1,0,0,1,0,5.0,13,25,2,8,3,1
Medical Professionals,United States,"North America (United States of America, Canada)",T,Female,21,"(8.999, 21.0]",1,1,0.0,1,1,1,0.0,,1,1,1,1,1,1,0.0,1.0,1,0,1,1,0,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,1,0,5,2,5,5,1,0,0,1,0,1,1,1,1,0,0,1,3,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,3.0,14,18,1,5,0,1
Academian/Administration,United States,"North America (United States of America, Canada)",T,Male,31,"(30.0, 41.0]",2,1,1.0,0,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,0,0,0,1,1,5,2-14 Day,1,1,1,1,1,1,0,1,5,5,5,5,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,1,1,1,1,1,0,2.0,17,25,3,4,5,1
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,0,1,1,0,1,1,1,0,5,2-14 Day,0,1,1,1,1,0,1,0,5,5,5,5,4,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,5.0,14,24,0,11,3,3
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Female,33,"(30.0, 41.0]",3,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,0,1,0,1,0,5,1-7 Day,1,1,1,1,0,1,0,0,3,4,5,5,5,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,0,1,1,1,1,1,0,0,0,0,0,3.0,13,22,1,10,1,3
Academian/Administration,Spain,"Western Europe (United Kingdom, Finland, Germany,Italy, Netherlands, Ireland, Norway, Portugal, Spain)",,Female,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,0,1,0,0,0,1,0,5,1-7 Day,3,1,1,1,1,0,0,1,4,5,4,4,3,0,0,0,1,1,0,1,1,0,1,3,0,1,0,0,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,5.0,14,20,1,7,2,2
Medical Professionals,Wales,"Western Europe (United Kingdom, Finland, Germany,Italy, Netherlands, Ireland, Norway, Portugal, Spain)",T,Male,38,"(30.0, 41.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,0,0,1,1,5,2-14 Day,0,1,1,1,1,1,1,0,4,4,4,4,5,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,1,0,1,0,1,4,0,0,0,0,0,0,4.0,16,21,1,9,0,2
Academian/Administration,Ghana,"West Africa( Ghana, Nigeria)",T,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,0,0,1,1,1.0,0.0,1,0,0,1,1,0,0,1,0,5,2-14 Day,0,0,0,1,0,0,0,0,5,5,5,5,4,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,3,1,0,1,1,0,5,0,0,0,0,0,0,5.0,9,24,3,10,0,2
Others,Japan,"East Asia (China, Japan, South korea)",T,Male,31,"(30.0, 41.0]",2,1,1.0,0,1,0,0.0,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,0,0,,3,4,4,4,4,,,,,0,1,1,1,1,1,0,3,1,1,0,1,1,3,1,0,1,1,0,5,1,1,1,1,0,0,2.0,14,19,0,9,4,2
Academian/Administration,Mexico,Central America and Mexico,T,Male,30,"(24.0, 30.0]",1,1,0.0,0,1,0,0.0,4,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,0,0,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,4,4,5,5,5,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,0,0,1,0,1,0,1,0,0,0,0,1.0,13,23,0,11,1,1
Academian/Administration,United States,"North America (United States of America, Canada)",S,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,0,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,4,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,3,1,1,1,1,1,1,0,1,0,0,1,0,5.0,16,24,1,9,2,4
Academian/Administration,Germany,"Western Europe (United Kingdom, Finland, Germany,Italy, Netherlands, Ireland, Norway, Portugal, Spain)",T,Female,27,"(24.0, 30.0]",1,1,0.0,0,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,3,1,0,0,1,1,1,1,1,1,1,1,0,3.0,21,24,4,9,5,2
Academian/Administration,Mexico,Central America and Mexico,S,Male,18,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,5,Other,1,1,1,1,0,0,1,0,3,5,5,4,4,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,3,1,0,1,1,1,5,1,1,1,1,1,0,5.0,16,21,0,8,5,3
Medical Professionals,Mexico,Central America and Mexico,T,Male,21,"(8.999, 21.0]",1,1,1.0,0,1,0,0.0,1,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,0,1,Other,3,1,1,1,3,3,3,3,3,3,3,3,3,1,0,0,0,1,1,1,1,1,1,3,0,1,1,1,1,1,3,1,0,0,1,0,5,0,0,0,0,0,1,2.0,27,15,1,11,0,1
Academian/Administration,Mexico,Central America and Mexico,T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,0.0,3,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,1,0,1,0,4,4,4,5,3,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,3,1,0,1,1,1,3,0,1,0,0,0,1,4.0,15,20,1,9,1,3
Medical Professionals,Mexico,Central America and Mexico,T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,0.0,3,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,1,0,1,0,4,4,4,5,3,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,3,1,0,1,1,1,3,0,1,0,0,0,1,4.0,15,20,1,9,1,3
Medical Professionals,Mexico,Central America and Mexico,T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,0.0,3,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,1,0,1,0,4,4,4,5,3,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,3,1,0,1,1,1,3,0,1,0,0,0,1,4.0,15,20,1,9,1,3
Academian/Administration,Mexico,Central America and Mexico,T,Male,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,4,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,5,0,0,1,Not Sure,1,1,1,1,1,1,0,0,1,1,0,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,5.0,20,25,1,10,5,2
Medical Professionals,Mexico,Central America and Mexico,S,Male,22,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,4,1,0,0,0,0,0,0.0,0.0,1,1,1,1,0,0,0,0,1,1,2-14 Day,1,1,1,1,1,1,3,1,4,5,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,0,1,1,5.0,12,24,0,11,4,2
Medical Professionals,Mexico,Central America and Mexico,,Female,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,4,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,1,0,0,0,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,0,1,1,1,2,0,0,0,0,1,1,5.0,17,23,4,11,1,3
Medical Professionals,Mexico,Central America and Mexico,T,Male,20,"(8.999, 21.0]",2,1,1.0,1,1,1,1.0,5,1,0,1,1,1,1,0.0,1.0,1,0,1,1,0,1,1,1,1,1,2-14 Day,3,1,1,1,1,1,1,0,5,5,5,5,5,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,3,1,1,1,1,1,2,1,1,0,1,1,1,5.0,17,25,4,8,4,4
Medical Professionals,Mexico,Central America and Mexico,T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,5,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,0,5,4,4,4,4,0,0,1,0,1,1,1,0,1,1,3,0,1,1,0,1,1,3,1,0,0,0,0,2,1,1,1,1,1,1,5.0,19,21,1,9,5,0
Academian/Administration,Mexico,Central America and Mexico,S,Female,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,0,1,1.0,1.0,1,0,1,1,0,0,1,1,1,1,2-14 Day,0,1,1,1,1,1,0,0,5,5,5,4,3,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,3,0,0,1,1,0,2,1,0,1,1,0,1,5.0,15,22,1,9,3,2
Academian/Administration,Mexico,Central America and Mexico,S,Male,22,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,4,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,1,1,1,0,1,2-14 Day,1,1,1,1,0,1,0,0,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,1,1,1,1,2,0,1,0,0,1,1,5.0,15,25,0,8,2,4
Medical Professionals,Mexico,Central America and Mexico,T,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,4,1,1,1,0,1,1,1.0,1.0,1,1,0,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,0,1,0,0,3,5,4,5,4,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,3,1,0,1,1,1,4,0,1,1,0,1,1,5.0,16,21,0,9,3,3
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,24,"(21.0, 24.0]",1,1,0.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,0,0,1,1,2-14 Day,0,1,0,1,1,1,1,1,5,5,4,4,5,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,3,1,0,0,1,0,3,1,1,1,1,1,1,3.0,18,23,4,7,5,1
